"";"Valor economico en riesgo##Servicios ecosistemicos culturales en riesgo";"Valor economico en riesgo##Servicios ecosistemicos medioambientales en riesgo";"Valor economico en riesgo##Coste del tratamiento";"Servicios ecosistemicos medioambientales en riesgo##Coste del tratamiento";"Servicios ecosistemicos medioambientales en riesgo##Servicios ecosistemicos culturales en riesgo";"Servicios ecosistemicos culturales en riesgo##Coste del tratamiento";"Zona no designada como de especial interes para la conservacion##Zona catalogada o bien como ZEPA o bien como ZEC";"Zona no designada como de especial interes para la conservacion##Zona catalogada como ZEPA y como ZEC";"Zona catalogada o bien como ZEPA o bien como ZEC##Zona catalogada como ZEPA y como ZEC"
"636";6;6;3;4;5;3;5;5;5
"637";7;7;5;5;7;7;7;6;5
"638";7;7;5;7;7;7;7;7;7
"639";7;8;8;7;7;8;7;8;7
"640";7;8;6;7;8;6;8;8;5
"641";5;7;7;7;7;7;7;7;7
"642";4;7;8;6;5;5;7;6;6
"643";5;5;5;5;5;5;7;7;5
"644";7;8;1;9;1;9;9;9;9
"645";9;9;9;9;9;9;9;9;9
"646";7;7;5;7;7;7;7;7;7
"647";6;8;6;7;5;7;7;8;3
"648";7;7;6;7;6;7;7;6;7
"649";7;3;5;7;7;5;7;7;7
"650";6;7;6;7;7;6;8;8;8
"651";8;8;7;8;9;8;8;8;9
"652";7;7;5;7;6;7;6;6;6
"653";6;5;6;6;6;6;5;6;5
"654";5;5;6;6;7;7;7;7;7
"655";7;7;7;4;7;6;5;7;5
"656";6;8;6;8;7;7;7;9;7
"657";6;8;8;8;8;6;7;7;7
"658";5;7;6;6;5;6;7;8;3
"659";9;9;8;8;9;8;9;8;9
"660";9;9;9;9;9;9;9;9;9
"661";1;1;1;1;1;1;1;1;1
"662";6;6;7;7;6;7;8;8;8
"663";2;2;1;7;1;3;2;9;1
"664";9;9;7;8;9;7;9;9;9
"665";5;6;8;9;2;5;6;6;5
"666";7;7;7;8;7;7;7;7;7
"667";6;5;6;7;6;6;5;8;5
"668";9;8;8;9;9;9;9;9;8
"669";7;7;8;9;5;5;9;9;7
"670";7;6;5;6;7;7;6;7;7
"671";7;9;6;7;6;7;9;9;6
"672";5;5;5;5;5;5;5;5;5
"673";8;7;7;7;8;7;8;7;7
"674";6;5;5;5;5;5;5;5;5
"675";3;9;7;9;9;9;9;9;9
"676";7;7;7;7;7;8;7;7;8
"677";7;7;7;6;7;6;8;8;7
"678";7;7;3;7;8;5;7;6;5
"679";6;6;6;7;5;6;6;6;6
"680";6;6;7;7;6;7;7;8;9
"681";7;8;7;8;7;5;8;7;7
"682";9;9;9;9;9;9;9;9;9
"683";7;8;7;7;8;9;8;9;8
"684";7;6;8;7;8;4;5;6;5
"685";7;7;6;6;7;7;8;8;6
"686";8;8;8;8;8;8;8;6;8
"687";7;7;7;8;8;7;8;7;8
"688";6;6;6;6;7;6;7;7;7
"689";5;5;6;6;6;6;8;7;7
"690";8;7;4;8;9;7;7;8;8
"691";8;9;8;8;8;7;8;8;9
"692";8;8;7;7;7;7;8;8;9
"693";3;1;3;1;1;1;5;2;2
"694";6;5;3;9;3;4;3;4;7
"695";7;5;6;7;8;5;7;6;7
"696";1;1;1;1;1;1;1;1;1
"697";5;5;3;7;3;8;9;6;8
"698";6;8;7;6;6;7;5;7;7
"699";4;4;5;5;5;6;5;6;6
"700";8;8;9;9;9;8;7;8;9
"701";6;4;5;6;3;6;4;7;3
"702";9;9;9;5;8;6;7;7;7
"703";9;9;8;9;7;9;9;8;9
"704";5;5;5;5;5;5;5;7;8
"705";8;7;6;6;7;8;7;8;6
"706";9;9;7;9;9;5;5;5;5
"707";5;5;5;5;5;5;6;7;5
"708";1;5;5;7;7;7;9;9;1
"709";8;8;8;8;8;8;8;8;8
"710";7;7;7;7;7;7;8;8;8
"711";7;7;6;6;7;6;5;5;5
"712";6;8;3;3;4;4;1;8;7
"713";7;6;8;7;6;8;7;8;7
"714";8;8;8;9;6;8;9;9;9
"715";7;7;6;7;8;5;8;8;6
"716";8;8;3;3;4;6;5;9;8
"717";7;7;7;7;7;7;7;7;7
"718";9;9;5;9;9;8;8;9;9
"719";5;5;5;5;7;6;5;5;5
"720";7;7;7;8;8;8;8;9;9
"721";5;5;5;5;5;5;5;5;5
"722";8;7;8;7;7;7;8;7;7
"723";8;8;6;9;7;9;6;6;6
"724";7;5;7;5;6;6;8;5;7
"725";6;8;7;9;5;7;9;9;7
"726";7;7;5;7;5;7;6;6;7
"727";5;7;5;7;4;7;5;5;6
"728";6;7;6;7;7;6;8;8;8
"729";6;6;7;4;7;7;7;6;5
"730";4;4;2;5;4;3;4;6;4
"731";8;7;7;8;8;9;8;8;8
"732";9;9;7;9;9;9;7;8;8
"733";8;9;7;9;9;9;9;9;9
"734";9;8;5;1;1;6;5;5;5
"735";7;8;6;7;7;7;7;7;7
"736";7;8;8;8;8;8;8;8;5
"737";3;5;4;5;4;4;5;4;6
"738";5;5;5;5;5;5;5;7;5
"739";7;7;4;3;4;4;4;6;7
"740";6;6;6;9;8;9;5;8;1
"741";5;7;7;8;5;8;9;9;5
"742";7;7;7;7;7;7;8;8;7
"743";7;7;8;7;8;8;8;8;7
"744";9;9;9;9;9;9;9;9;8
"745";3;3;3;5;5;3;3;3;2
"746";9;9;1;9;9;9;9;9;9
"747";9;9;8;8;8;8;9;9;9
"748";6;7;7;6;5;6;8;7;8
"749";7;7;5;5;6;6;6;7;7
"750";6;9;7;9;9;9;9;9;9
"751";9;9;8;9;9;8;9;8;9
"752";9;9;6;7;7;7;9;9;9
"753";5;5;5;5;5;5;5;5;5
"754";7;7;1;7;9;1;9;7;7
"755";7;7;7;7;7;7;7;7;7
"756";9;9;8;7;9;7;7;7;7
"757";7;7;3;7;7;7;7;7;7
"758";3;2;9;9;4;9;5;5;5
"759";9;9;5;7;9;6;9;9;9
"760";7;7;7;7;7;7;7;7;7
"761";7;7;7;7;7;7;8;8;8
"762";1;1;1;4;1;5;1;1;1
"763";1;8;4;5;5;9;5;5;5
"764";9;9;9;9;9;9;9;9;9
"765";5;5;5;5;5;5;2;9;5
"766";4;4;3;3;3;3;4;3;3
"767";4;5;4;5;7;6;6;7;6
"768";7;7;7;7;7;7;8;8;9
"769";7;7;4;7;7;7;6;6;3
"770";8;8;6;6;6;6;3;6;6
"771";5;3;3;4;3;3;4;3;1
"772";8;8;7;9;7;8;7;8;6
"773";7;7;6;6;9;6;7;7;7
"774";7;7;6;7;5;7;6;7;6
"775";8;9;6;6;9;6;9;9;9
"776";6;6;7;7;6;4;8;7;6
"777";8;8;9;9;8;8;8;8;8
"778";7;7;5;7;3;7;3;3;1
"779";7;8;7;8;8;8;8;8;8
"780";7;9;5;8;8;8;7;8;8
"781";6;6;5;6;6;6;9;9;7
"782";8;8;6;7;8;6;8;7;6
"783";5;5;6;3;2;2;5;5;5
